Income,Age,HasDebt,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,IsSoftwareDev
17000,29,1,0,English,NA,bachelor's degree,Music,"less than 100,000",United States of America,United States of America,education,Employed for wages,male,0
16000,30,1,0,English,NA,bachelor's degree,Music,more than 1 million,Canada,Canada,software development,Self-employed freelancer,male,0
NA,30,1,0,Serbo-Croatian,"single, never married","some college credit, no degree",NA,"less than 100,000",Croatia,Croatia,NA,Not working but looking for work,male,0
200000,32,1,1,English,married or domestic partnership,master's degree (non-professional),Geology,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,NA
NA,25,1,1,Hindi,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",India,United States of America,NA,Doing an unpaid internship,female,NA
100000,29,0,1,English,"single, never married",bachelor's degree,Computer Science,"between 100,000 and 1 million",Singapore,United States of America,"arts, entertainment, sports, or media",Employed for wages,female,0
41000,44,1,0,English,married or domestic partnership,bachelor's degree,Political Science,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,1
NA,21,0,1,Hindi,NA,bachelor's degree,Computer Science,more than 1 million,India,India,NA,Not working but looking for work,male,NA
NA,21,1,1,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
12000,28,0,1,English,"single, never married",high school diploma or equivalent (GED),NA,"less than 100,000",South Africa,South Africa,NA,Self-employed freelancer,male,1
60000,28,1,0,English,married or domestic partnership,"trade, technical, or vocational training",NA,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,0
75000,25,1,1,English,NA,bachelor's degree,Political Science,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0
35000,35,0,0,English,married or domestic partnership,master's degree (non-professional),Physics,"less than 100,000",United Kingdom,United Kingdom,software development,Employed for wages,male,0
NA,24,0,1,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,female,0
NA,23,0,0,Spanish,NA,"some college credit, no degree",NA,more than 1 million,Venezuela,Venezuela,NA,A stay-at-home parent or homemaker,male,0
NA,34,0,0,Spanish,NA,bachelor's degree,Information Technology,more than 1 million,Spain,United States of America,NA,Doing an unpaid internship,male,0
6000,18,1,0,English,NA,high school diploma or equivalent (GED),NA,"less than 100,000",United States of America,United States of America,NA,Employed for wages,female,0
40000,33,1,1,English,NA,bachelor's degree,English,"less than 100,000",United States of America,United States of America,health care,Employed for wages,female,0
6500,28,0,0,Portuguese,NA,high school diploma or equivalent (GED),NA,more than 1 million,Brazil,Brazil,office and administrative support,Employed for wages,male,0
60000,33,1,1,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",New Zealand,United States of America,NA,Self-employed freelancer,male,0
29000,26,0,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,finance,Employed for wages,male,0
10000,24,1,1,English,NA,bachelor's degree,Computer Science,more than 1 million,South Africa,South Africa,software development,Employed for wages,male,0
53000,39,1,0,English,NA,associate's degree,Information Technology,"between 100,000 and 1 million",United States of America,United States of America,law enforcement and fire and rescue,Employed for wages,male,0
NA,24,0,0,Portuguese,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Brazil,Brazil,NA,Not working but looking for work,male,1
NA,34,1,0,English,NA,high school diploma or equivalent (GED),NA,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0
NA,19,0,1,English,NA,"some college credit, no degree",NA,more than 1 million,Jamaica,United States of America,NA,NA,male,1
52000,28,0,0,English,NA,bachelor's degree,Communications,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0
NA,24,0,0,Russian,NA,high school diploma or equivalent (GED),NA,more than 1 million,Canada,Canada,NA,Not working but looking for work,male,1
17000,41,1,0,English,married or domestic partnership,master's degree (non-professional),English,"less than 100,000",United Kingdom,United Kingdom,office and administrative support,Employed for wages,male,0
20000,47,0,0,Italian,married or domestic partnership,high school diploma or equivalent (GED),NA,more than 1 million,Italy,Italy,sales,Self-employed freelancer,male,1
NA,22,0,0,Spanish,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Venezuela,Venezuela,NA,Not working but looking for work,male,0
NA,20,0,0,Hindi,NA,high school diploma or equivalent (GED),NA,"less than 100,000",India,India,NA,Doing an unpaid internship,female,0
24000,20,0,1,Spanish,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0
NA,19,0,0,Bengali,NA,some high school,NA,more than 1 million,Bangladesh,Bangladesh,NA,Not working but looking for work,male,0
12000,25,0,0,Portuguese,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",Portugal,Portugal,software development,Employed for wages,male,NA
NA,20,1,1,Hindi,NA,high school diploma or equivalent (GED),NA,more than 1 million,India,Singapore,NA,NA,male,0
NA,43,0,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,male,1
NA,33,0,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0
NA,35,1,0,English,"single, never married","some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,female,0
NA,30,0,0,English,NA,bachelor's degree,Chemistry,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
64000,25,0,0,English,NA,bachelor's degree,Linguistics,"less than 100,000",United States of America,NA,software development,Employed for wages,female,NA
NA,24,0,0,English,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Macedonia,Macedonia,NA,Not working but looking for work,male,0
35000,36,1,0,Greek,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,Cyprus,Greece,software development,Employed for wages,male,0
24000,30,1,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,male,0
62500,34,1,0,English,NA,master's degree (non-professional),Sociology,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,0
27000,40,1,0,Swedish,married or domestic partnership,some high school,NA,"less than 100,000",Sweden,Sweden,software development,Employed for wages,male,0
NA,30,1,0,English,NA,"professional degree (MBA, MD, JD, etc.)",English,more than 1 million,United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0
30000,47,0,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Sports Medicine,"between 100,000 and 1 million",Brazil,United States of America,software development,Self-employed freelancer,female,0
16500,24,0,0,Portuguese,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Portugal,Portugal,software development,Employed for wages,female,1
75000,25,0,1,Mandarin Chinese,NA,bachelor's degree,Economics,more than 1 million,United States of America,United States of America,finance,Employed for wages,female,0
NA,27,1,1,English,NA,associate's degree,Business Administration,more than 1 million,United States of America,United States of America,transportation,Self-employed business owner,male,0
NA,27,1,0,English,NA,bachelor's degree,Graphic Design,"less than 100,000",United States of America,United States of America,software development,Employed for wages,female,0
50000,24,1,0,English,NA,bachelor's degree,Mechanical Engineering,"less than 100,000",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,0
40000,34,1,0,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1
56000,37,1,1,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1
35000,39,1,0,English,married or domestic partnership,bachelor's degree,Criminal Justice,"less than 100,000",United States of America,United States of America,transportation,Employed for wages,male,1
45000,36,1,0,English,married or domestic partnership,associate's degree,Economics,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1
50000,30,1,0,English,married or domestic partnership,associate's degree,Computer Science,"less than 100,000",United States of America,United States of America,software development,Employed for wages,male,0
37000,25,0,0,English,NA,bachelor's degree,Linguistics,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,0
110000,31,1,0,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,0
65000,36,1,1,English,married or domestic partnership,master's degree (non-professional),Computer Science,more than 1 million,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,male,0
16000,20,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,software development,Self-employed freelancer,male,0
NA,32,1,0,English,NA,bachelor's degree,Computer Networking,more than 1 million,United Kingdom,Germany,NA,Not working and not looking for work,male,0
30000,27,0,0,English,NA,bachelor's degree,Linguistics,more than 1 million,United Kingdom,United Kingdom,finance,Employed for wages,male,0
23000,32,1,0,English,NA,bachelor's degree,Liberal Arts,"between 100,000 and 1 million",United Kingdom,United Kingdom,office and administrative support,Employed for wages,male,1
94000,32,1,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Electrical Engineering,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,female,0
85000,38,1,0,English,married or domestic partnership,bachelor's degree,Animation,NA,United States of America,United States of America,"arts, entertainment, sports, or media",Employed for wages,male,0
NA,16,0,0,English,NA,some high school,NA,more than 1 million,United States of America,United States of America,NA,NA,male,0
10000,19,1,0,English,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",Canada,Canada,software development,Employed for wages,male,0
NA,22,0,0,English,NA,some high school,NA,"between 100,000 and 1 million",Nigeria,United States of America,NA,Not working but looking for work,male,0
18000,19,1,0,English,NA,high school diploma or equivalent (GED),NA,"less than 100,000",United Kingdom,United Kingdom,software development,Employed for wages,male,0
NA,24,0,0,French,NA,bachelor's degree,Economics,more than 1 million,France,United States of America,NA,Not working but looking for work,male,NA
NA,34,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,more than 1 million,United Kingdom,United Kingdom,NA,A stay-at-home parent or homemaker,male,0
30000,26,1,0,English,"single, never married","some college credit, no degree",NA,more than 1 million,United States of America,United States of America,sales,Employed for wages,male,NA
NA,38,1,0,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,NA,female,0
60000,28,0,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,architecture or physical engineering,Employed for wages,male,0
67000,32,0,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Biology,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed business owner,male,1
50000,35,0,0,English,NA,master's degree (non-professional),Linguistics,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,0
NA,16,0,0,English,NA,some high school,NA,"less than 100,000",United States of America,United States of America,NA,Doing an unpaid internship,male,0
NA,23,1,1,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
40000,26,1,0,English,married or domestic partnership,master's degree (non-professional),Music,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,1
30000,25,1,1,Dutch,NA,bachelor's degree,Public Administration,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",software development,Self-employed freelancer,male,0
40000,25,1,1,English,married or domestic partnership,bachelor's degree,Anthropology,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,NA
45000,34,0,0,English,NA,master's degree (non-professional),Physics,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0
34000,31,1,1,Hindi,NA,bachelor's degree,Liberal Arts,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,NA
45000,46,1,0,Swedish,"single, never married",master's degree (non-professional),Linguistics,more than 1 million,Sweden,Sweden,"arts, entertainment, sports, or media",Employed for wages,female,0
10000,19,0,1,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,0
NA,22,0,0,Urdu,"single, never married",some high school,NA,more than 1 million,Pakistan,Pakistan,NA,Not working but looking for work,male,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
37000,30,1,0,English,married or domestic partnership,high school diploma or equivalent (GED),NA,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,0
NA,25,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Military,male,0
NA,15,0,0,English,NA,some high school,NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,1
20000,36,1,1,Spanish,married or domestic partnership,bachelor's degree,Computer Science,more than 1 million,Ecuador,Ecuador,software development,Self-employed freelancer,male,NA
19000,26,1,1,Spanish,NA,bachelor's degree,Biology,more than 1 million,United States of America,United States of America,health care,Employed for wages,female,0
NA,43,0,1,Yue (Cantonese) Chinese,married or domestic partnership,Ph.D.,Electrical Engineering,more than 1 million,Australia,Australia,NA,NA,male,0
NA,24,0,0,Nepali,NA,bachelor's degree,Information Technology,more than 1 million,Nepal,Australia,NA,Not working but looking for work,male,0
50000,27,1,0,English,married or domestic partnership,bachelor's degree,Liberal Arts,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Self-employed business owner,male,NA
35000,31,0,0,French,NA,master's degree (non-professional),International Business,more than 1 million,France,Korea South,office and administrative support,Employed for wages,female,0
70000,28,0,0,English,NA,associate's degree,Aviation,more than 1 million,Canada,Canada,transportation,Employed for wages,male,0
20000,32,1,0,English,NA,bachelor's degree,Sociology,"less than 100,000",United States of America,United States of America,software development,Employed for wages,male,0
NA,23,1,0,French,NA,master's degree (non-professional),Computer Science,"less than 100,000",France,Canada,NA,NA,male,1
NA,16,0,0,Dutch,NA,no high school (secondary school),NA,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",food and beverage,Employed for wages,male,0
35000,29,1,0,English,NA,bachelor's degree,Anthropology,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,female,0
NA,43,1,1,Greek,NA,bachelor's degree,Electrical Engineering,more than 1 million,Greece,Austria,NA,Self-employed freelancer,male,0
30000,25,1,0,English,NA,bachelor's degree,Engineering,more than 1 million,Canada,Canada,software development,Employed for wages,male,0
135000,35,0,0,English,NA,master's degree (non-professional),Computer Science,more than 1 million,United States of America,United States of America,software development,Self-employed business owner,male,0
NA,33,0,0,English,NA,bachelor's degree,Music,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,0
NA,18,0,1,English,NA,high school diploma or equivalent (GED),NA,more than 1 million,Philippines,Canada,NA,NA,female,0
NA,21,0,0,English,NA,associate's degree,Electrical Engineering,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,male,0
35000,24,1,1,Pashto,NA,bachelor's degree,Engineering,more than 1 million,Australia,Australia,software development,Employed for wages,male,0
NA,20,0,0,Marathi,NA,"some college credit, no degree",NA,more than 1 million,India,India,NA,Not working and not looking for work,male,0
26000,25,1,1,English,NA,master's degree (non-professional),Psychology,more than 1 million,Jamaica,United Kingdom,office and administrative support,Employed for wages,female,0
NA,24,0,1,English,NA,bachelor's degree,Communications,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,0
75000,41,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",Barbados,United States of America,software development,Employed for wages,male,NA
16000,27,1,0,English,NA,bachelor's degree,Physics,"between 100,000 and 1 million",United States of America,United States of America,software development,Employed for wages,male,0
NA,24,0,0,Dutch,NA,master's degree (non-professional),Liberal Arts,"less than 100,000",Belgium,Belgium,NA,Not working but looking for work,male,0
NA,22,0,1,Portuguese,NA,bachelor's degree,Information Technology,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
45000,32,1,0,English,married or domestic partnership,associate's degree,Web Design,"less than 100,000",United States of America,United States of America,software development,Employed for wages,male,0
NA,28,0,0,English,NA,bachelor's degree,Finance,more than 1 million,Canada,Canada,software development,Self-employed business owner,male,0
24000,40,1,1,English,separated,bachelor's degree,Education,more than 1 million,Ireland,Thailand,education,Employed for wages,male,0
7000,31,1,0,English,NA,bachelor's degree,Linguistics,"between 100,000 and 1 million",United States of America,United States of America,"arts, entertainment, sports, or media",Self-employed freelancer,male,0
NA,22,0,1,English,NA,associate's degree,Electrical Engineering,"between 100,000 and 1 million",United States of America,United States of America,NA,Doing an unpaid internship,male,0
53000,32,1,0,English,married or domestic partnership,associate's degree,Computer Science,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,NA
NA,36,1,0,English,NA,master's degree (non-professional),Environmental Science,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,0
NA,27,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,1
NA,27,1,0,English,NA,bachelor's degree,Computer Science,more than 1 million,United Kingdom,United Kingdom,NA,Employed for wages,male,0
6000,26,0,0,Serbo-Croatian,NA,bachelor's degree,Information Technology,"between 100,000 and 1 million",Croatia,Republic of Montenegro,office and administrative support,Employed for wages,male,1
NA,30,0,0,English,NA,bachelor's degree,Cinematography And Film,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0
NA,26,0,0,Spanish,NA,bachelor's degree,Systems Engineering,more than 1 million,Bolivia,Bolivia,NA,Not working but looking for work,male,NA
NA,14,0,0,English,NA,no high school (secondary school),NA,"less than 100,000",United States of America,United States of America,NA,NA,male,1
45000,34,1,1,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,Korea South,education,Employed for wages,male,1
34000,37,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"between 100,000 and 1 million",Ireland,Ireland,transportation,Employed for wages,male,0
76000,34,0,0,English,NA,Ph.D.,Biology,more than 1 million,United States of America,United States of America,education,Employed for wages,female,0
NA,24,0,0,French,NA,associate's degree,Advertising and Marketing,"between 100,000 and 1 million",Senegal,Senegal,NA,Not working but looking for work,male,0
NA,34,1,0,English,NA,master's degree (non-professional),Creative Writing,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,NA
35000,29,1,1,English,NA,high school diploma or equivalent (GED),NA,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,0
40000,50,1,0,English,NA,bachelor's degree,Business Administration,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed business owner,male,0
NA,19,0,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United Kingdom,United Kingdom,NA,NA,male,0
46000,32,0,0,English,NA,master's degree (non-professional),Philosophy,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0
NA,22,1,0,English,NA,bachelor's degree,Computer Science,more than 1 million,Ireland,Ireland,NA,NA,male,NA
NA,26,0,0,English,NA,high school diploma or equivalent (GED),NA,"less than 100,000",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0
40000,30,1,0,English,NA,master's degree (non-professional),Music,"less than 100,000",United States of America,United States of America,education,Self-employed freelancer,male,0
NA,26,0,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,female,0
NA,27,0,0,Russian,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Romania,Romania,NA,Unable to work,male,0
15000,37,1,0,French,married or domestic partnership,master's degree (non-professional),History,more than 1 million,Canada,Canada,office and administrative support,Employed for wages,female,0
10000,30,1,0,English,married or domestic partnership,master's degree (non-professional),International Relations,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,0
75000,40,1,1,English,married or domestic partnership,master's degree (non-professional),English,more than 1 million,Canada,Canada,NA,Employed for wages,female,0
46000,22,1,0,English,NA,bachelor's degree,Computer Science,more than 1 million,New Zealand,New Zealand,software development,Employed for wages,male,0
NA,32,1,0,English,NA,master's degree (non-professional),Graphic Design,more than 1 million,United States of America,Canada,NA,A stay-at-home parent or homemaker,male,NA
20000,27,1,0,Bengali,married or domestic partnership,bachelor's degree,Civil Engineering,"less than 100,000",Australia,Australia,NA,Employed for wages,male,0
NA,28,0,0,Khmer,married or domestic partnership,master's degree (non-professional),Computer Science,"less than 100,000",Cambodia,Cambodia,NA,Not working but looking for work,male,0
25000,50,0,0,English,divorced,"some college credit, no degree",NA,"between 100,000 and 1 million",Canada,Canada,"arts, entertainment, sports, or media",Self-employed freelancer,male,0
50000,26,1,0,English,NA,master's degree (non-professional),Political Science,"less than 100,000",United Kingdom,United Kingdom,NA,Self-employed freelancer,male,0
60000,29,1,1,English,NA,"professional degree (MBA, MD, JD, etc.)",Economics,more than 1 million,United States of America,United States of America,construction and extraction,Employed for wages,male,NA
30000,34,0,1,French,married or domestic partnership,master's degree (non-professional),Psychology,more than 1 million,Romania,Canada,office and administrative support,Employed for wages,female,1
120000,36,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,software development,Employed for wages,male,1
28000,31,1,0,English,NA,bachelor's degree,History,more than 1 million,Canada,Canada,office and administrative support,Employed for wages,female,0
NA,21,0,0,Arabic,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Algeria,Algeria,NA,Not working but looking for work,male,1
25000,29,1,0,English,NA,bachelor's degree,Computer Aided Design (CAD),"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,female,1
NA,26,1,1,English,NA,bachelor's degree,Industrial Design,"less than 100,000",United States of America,United States of America,software development,Employed for wages,female,0
NA,19,0,1,Yue (Cantonese) Chinese,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,female,0
NA,25,1,1,English,NA,bachelor's degree,Computer Science,"between 100,000 and 1 million",Ireland,Ireland,NA,Not working but looking for work,male,0
45000,31,1,0,English,NA,bachelor's degree,Economics,"less than 100,000",United States of America,United States of America,finance,Employed for wages,male,0
NA,37,1,0,English,NA,master's degree (non-professional),Math,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,0
NA,27,0,1,English,NA,master's degree (non-professional),Finance,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,0
NA,19,0,1,Tamil,NA,high school diploma or equivalent (GED),NA,"between 100,000 and 1 million",India,United States of America,NA,NA,male,1
NA,50,1,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Accounting,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed freelancer,female,0
20000,24,1,0,English,NA,bachelor's degree,Kinesiology And Exercise Science,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,male,0
30000,28,1,0,English,"single, never married",bachelor's degree,Economics,"less than 100,000",United States of America,United States of America,software development,Employed for wages,male,0
35000,31,0,0,French,NA,"trade, technical, or vocational training",NA,"less than 100,000",Canada,Canada,NA,Employed for wages,female,1
126000,49,1,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Mechanical Engineering,"less than 100,000",United States of America,United States of America,transportation,Employed for wages,male,0
NA,24,0,0,English,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",Canada,Canada,NA,Not working but looking for work,female,0
NA,30,0,1,English,NA,bachelor's degree,Electrical Engineering,"between 100,000 and 1 million",Guatemala,United States of America,NA,Not working but looking for work,female,0
90000,49,1,0,English,married or domestic partnership,bachelor's degree,Communications,more than 1 million,United States of America,United States of America,software development,Employed for wages,male,NA
NA,45,1,0,English,NA,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,0
24000,55,1,0,NA,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",NA,more than 1 million,NA,NA,NA,Employed for wages,male,1
NA,20,0,1,Urdu,NA,"some college credit, no degree",NA,"less than 100,000",Pakistan,United States of America,NA,Not working but looking for work,male,0
12000,31,1,0,English,married or domestic partnership,"some college credit, no degree",NA,"less than 100,000",United States of America,United States of America,office and administrative support,Self-employed freelancer,female,1
NA,21,0,0,Russian,NA,bachelor's degree,Business Administration,more than 1 million,Russia,Russia,NA,Not working but looking for work,male,1
20000,36,0,0,Spanish,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,Mexico,Mexico,office and administrative support,Employed for wages,male,0
60000,36,1,0,Portuguese,married or domestic partnership,bachelor's degree,Computer Science,"less than 100,000",Brazil,Brazil,construction and extraction,Employed for wages,male,0
125000,51,0,0,English,NA,bachelor's degree,Liberal Arts,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,0
NA,22,1,1,English,NA,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,0
40000,30,1,1,Bengali,NA,bachelor's degree,Web Design,more than 1 million,United Kingdom,United Kingdom,"arts, entertainment, sports, or media",Self-employed business owner,male,0
6000,33,1,0,Spanish,married or domestic partnership,bachelor's degree,Computer Science,"between 100,000 and 1 million",Colombia,Colombia,software development,Employed for wages,male,0
NA,32,0,0,English,married or domestic partnership,"some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0
NA,30,1,0,English,"single, never married","some college credit, no degree",NA,more than 1 million,United States of America,United States of America,NA,A stay-at-home parent or homemaker,male,0
36000,26,0,0,Russian,"single, never married",master's degree (non-professional),Computer Science,"between 100,000 and 1 million",Israel,Israel,software development,Employed for wages,male,0
50000,31,1,1,Yue (Cantonese) Chinese,NA,"some college credit, no degree",NA,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,female,1
NA,36,0,1,English,married or domestic partnership,bachelor's degree,Communications,more than 1 million,United States of America,Japan,NA,A stay-at-home parent or homemaker,female,0
13000,31,1,0,English,NA,associate's degree,Web Design,more than 1 million,United States of America,United States of America,sales,Employed for wages,male,0
