Age,CityPopulation,CountryCitizen,CountryLive,EmploymentField,EmploymentStatus,Gender,HasDebt,Income,IsEthnicMinority,LanguageAtHome,MaritalStatus,SchoolDegree,SchoolMajor,IsSoftwareDev
36,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,NA,master's degree (non-professional),Environmental Science,0
27,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,1,NA,0,English,married or domestic partnership,"some college credit, no degree",NA,0
27,more than 1 million,United Kingdom,United Kingdom,NA,Employed for wages,male,1,NA,0,English,NA,bachelor's degree,Computer Science,0
26,"between 100,000 and 1 million",Croatia,Republic of Montenegro,office and administrative support,Employed for wages,male,0,6000,0,Serbo-Croatian,NA,bachelor's degree,Information Technology,0
30,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Cinematography And Film,0
26,more than 1 million,Bolivia,Bolivia,NA,Not working but looking for work,male,0,NA,0,Spanish,NA,bachelor's degree,Systems Engineering,0
14,"less than 100,000",United States of America,United States of America,NA,NA,male,0,NA,0,English,NA,no high school (secondary school),NA,0
34,more than 1 million,United States of America,Korea South,education,Employed for wages,male,1,45000,1,English,married or domestic partnership,"some college credit, no degree",NA,0
37,"between 100,000 and 1 million",Ireland,Ireland,transportation,Employed for wages,male,1,34000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
34,more than 1 million,United States of America,United States of America,education,Employed for wages,female,0,76000,0,English,NA,Ph.D.,Biology,0
24,"between 100,000 and 1 million",Senegal,Senegal,NA,Not working but looking for work,male,0,NA,0,French,NA,associate's degree,Advertising and Marketing,0
34,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,female,1,NA,0,English,NA,master's degree (non-professional),Creative Writing,0
29,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,35000,1,English,NA,high school diploma or equivalent (GED),NA,0
50,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed business owner,male,1,40000,0,English,NA,bachelor's degree,Business Administration,0
19,"less than 100,000",United Kingdom,United Kingdom,NA,NA,male,0,NA,0,English,NA,"some college credit, no degree",NA,0
32,more than 1 million,United States of America,United States of America,education,Employed for wages,male,0,46000,0,English,NA,master's degree (non-professional),Philosophy,0
22,more than 1 million,Ireland,Ireland,NA,NA,male,1,NA,0,English,NA,bachelor's degree,Computer Science,0
26,"less than 100,000",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
30,"less than 100,000",United States of America,United States of America,education,Self-employed freelancer,male,1,40000,0,English,NA,master's degree (non-professional),Music,0
26,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working and not looking for work,female,0,NA,0,English,NA,"some college credit, no degree",NA,0
37,more than 1 million,Canada,Canada,office and administrative support,Employed for wages,female,1,15000,0,French,married or domestic partnership,master's degree (non-professional),History,0
40,more than 1 million,Canada,Canada,NA,Employed for wages,female,1,75000,1,English,married or domestic partnership,master's degree (non-professional),English,0
32,more than 1 million,United States of America,Canada,NA,A stay-at-home parent or homemaker,male,1,NA,0,English,NA,master's degree (non-professional),Graphic Design,0
27,"less than 100,000",Australia,Australia,NA,Employed for wages,male,1,20000,0,Bengali,married or domestic partnership,bachelor's degree,Civil Engineering,0
50,"between 100,000 and 1 million",Canada,Canada,"arts, entertainment, sports, or media",Self-employed freelancer,male,0,25000,0,English,divorced,"some college credit, no degree",NA,0
26,"less than 100,000",United Kingdom,United Kingdom,NA,Self-employed freelancer,male,1,50000,0,English,NA,master's degree (non-professional),Political Science,0
29,more than 1 million,United States of America,United States of America,construction and extraction,Employed for wages,male,1,60000,1,English,NA,"professional degree (MBA, MD, JD, etc.)",Economics,0
34,more than 1 million,Romania,Canada,office and administrative support,Employed for wages,female,0,30000,1,French,married or domestic partnership,master's degree (non-professional),Psychology,0
31,more than 1 million,Canada,Canada,office and administrative support,Employed for wages,female,1,28000,0,English,NA,bachelor's degree,History,0
21,"between 100,000 and 1 million",Algeria,Algeria,NA,Not working but looking for work,male,0,NA,0,Arabic,NA,bachelor's degree,Computer Science,0
29,"between 100,000 and 1 million",United States of America,United States of America,food and beverage,Employed for wages,female,1,25000,0,English,NA,bachelor's degree,Computer Aided Design (CAD),0
26,"less than 100,000",United States of America,United States of America,software development,Employed for wages,female,1,NA,1,English,NA,bachelor's degree,Industrial Design,0
19,more than 1 million,United States of America,United States of America,NA,Doing an unpaid internship,female,0,NA,1,Yue (Cantonese) Chinese,NA,"some college credit, no degree",NA,0
25,"between 100,000 and 1 million",Ireland,Ireland,NA,Not working but looking for work,male,1,NA,1,English,NA,bachelor's degree,Computer Science,0
31,"less than 100,000",United States of America,United States of America,finance,Employed for wages,male,1,45000,0,English,NA,bachelor's degree,Economics,0
37,"between 100,000 and 1 million",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,0,English,NA,master's degree (non-professional),Math,0
27,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,1,English,NA,master's degree (non-professional),Finance,0
19,"between 100,000 and 1 million",India,United States of America,NA,NA,male,0,NA,1,Tamil,NA,high school diploma or equivalent (GED),NA,0
50,"between 100,000 and 1 million",United States of America,United States of America,NA,Self-employed freelancer,female,1,NA,0,English,NA,"professional degree (MBA, MD, JD, etc.)",Accounting,0
24,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,male,1,20000,0,English,NA,bachelor's degree,Kinesiology And Exercise Science,0
31,"less than 100,000",Canada,Canada,NA,Employed for wages,female,0,35000,0,French,NA,"trade, technical, or vocational training",NA,0
49,"less than 100,000",United States of America,United States of America,transportation,Employed for wages,male,1,126000,0,English,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",Mechanical Engineering,0
24,"between 100,000 and 1 million",Canada,Canada,NA,Not working but looking for work,female,0,NA,0,English,NA,"some college credit, no degree",NA,0
30,"between 100,000 and 1 million",Guatemala,United States of America,NA,Not working but looking for work,female,0,NA,1,English,NA,bachelor's degree,Electrical Engineering,0
45,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
55,more than 1 million,NA,NA,NA,Employed for wages,male,1,24000,0,NA,married or domestic partnership,"professional degree (MBA, MD, JD, etc.)",NA,0
20,"less than 100,000",Pakistan,United States of America,NA,Not working but looking for work,male,0,NA,1,Urdu,NA,"some college credit, no degree",NA,0
31,"less than 100,000",United States of America,United States of America,office and administrative support,Self-employed freelancer,female,1,12000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
21,more than 1 million,Russia,Russia,NA,Not working but looking for work,male,0,NA,0,Russian,NA,bachelor's degree,Business Administration,0
36,more than 1 million,Mexico,Mexico,office and administrative support,Employed for wages,male,0,20000,0,Spanish,married or domestic partnership,"some college credit, no degree",NA,0
36,"less than 100,000",Brazil,Brazil,construction and extraction,Employed for wages,male,1,60000,0,Portuguese,married or domestic partnership,bachelor's degree,Computer Science,0
51,more than 1 million,United States of America,United States of America,NA,Employed for wages,female,0,125000,0,English,NA,bachelor's degree,Liberal Arts,0
22,more than 1 million,United States of America,United States of America,NA,Not working and not looking for work,male,1,NA,1,English,NA,"some college credit, no degree",NA,0
30,more than 1 million,United Kingdom,United Kingdom,"arts, entertainment, sports, or media",Self-employed business owner,male,1,40000,1,Bengali,NA,bachelor's degree,Web Design,0
32,more than 1 million,United States of America,United States of America,NA,Not working but looking for work,male,0,NA,0,English,married or domestic partnership,"some college credit, no degree",NA,0
30,more than 1 million,United States of America,United States of America,NA,A stay-at-home parent or homemaker,male,1,NA,0,English,"single, never married","some college credit, no degree",NA,0
31,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,female,1,50000,1,Yue (Cantonese) Chinese,NA,"some college credit, no degree",NA,0
36,more than 1 million,United States of America,Japan,NA,A stay-at-home parent or homemaker,female,0,NA,1,English,married or domestic partnership,bachelor's degree,Communications,0
31,more than 1 million,United States of America,United States of America,sales,Employed for wages,male,1,13000,0,English,NA,associate's degree,Web Design,0
23,"between 100,000 and 1 million",United Kingdom,United Kingdom,food and beverage,Employed for wages,male,1,20000,0,English,NA,bachelor's degree,Physics,0
25,more than 1 million,Mexico,Mexico,NA,Not working but looking for work,male,1,NA,0,Spanish,NA,"professional degree (MBA, MD, JD, etc.)",Computer Science,0
27,"less than 100,000",United States of America,United States of America,education,Self-employed business owner,male,1,47000,0,English,married or domestic partnership,bachelor's degree,Elementary Education,0
26,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,29000,0,English,NA,associate's degree,Computer Networking,0
28,more than 1 million,Peru,Peru,software development,Employed for wages,male,1,20000,0,Spanish,"single, never married",bachelor's degree,Information Technology,0
39,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,0,40000,0,English,divorced,high school diploma or equivalent (GED),NA,0
17,more than 1 million,Australia,Australia,NA,Doing an unpaid internship,male,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
17,more than 1 million,Colombia,Colombia,NA,NA,male,0,NA,0,Spanish,NA,"some college credit, no degree",NA,0
26,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,NA,13500,0,English,NA,"some college credit, no degree",NA,0
39,"between 100,000 and 1 million",United States of America,Japan,"arts, entertainment, sports, or media",Self-employed freelancer,female,1,20000,1,English,married or domestic partnership,bachelor's degree,Liberal Arts,0
36,"between 100,000 and 1 million",United States of America,United States of America,NA,Employed for wages,male,1,15000,0,English,"single, never married",bachelor's degree,Software Engineering,0
53,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,female,1,NA,1,English,married or domestic partnership,master's degree (non-professional),Business Administration,0
32,"less than 100,000",United Kingdom,United States of America,education,Employed for wages,male,0,50000,0,English,NA,bachelor's degree,Operations Management,0
35,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,28000,0,English,married or domestic partnership,"trade, technical, or vocational training",NA,0
31,more than 1 million,United States of America,Hong Kong,transportation,Employed for wages,male,0,105000,1,English,NA,bachelor's degree,Communications,0
20,"less than 100,000",United States of America,United States of America,office and administrative support,Employed for wages,male,0,10000,0,English,NA,"some college credit, no degree",NA,0
28,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,NA,0,English,NA,bachelor's degree,Psychology,0
21,more than 1 million,Ukraine,Ukraine,NA,Doing an unpaid internship,male,0,NA,0,Russian,NA,associate's degree,Electrical Engineering,0
31,"between 100,000 and 1 million",United States of America,United States of America,education,Employed for wages,male,1,45000,0,English,NA,master's degree (non-professional),Mental Health Counseling,0
25,"less than 100,000",United States of America,United States of America,NA,Not working but looking for work,male,1,NA,1,English,NA,bachelor's degree,Communications,0
28,more than 1 million,Mexico,Mexico,NA,Not working but looking for work,male,0,NA,0,Spanish,NA,bachelor's degree,Software Engineering,0
32,more than 1 million,United States of America,Korea South,education,Employed for wages,female,1,36000,1,English,NA,bachelor's degree,Business Administration,0
33,more than 1 million,Canada,Canada,NA,Not working but looking for work,male,1,NA,1,English,NA,"some college credit, no degree",NA,0
36,"less than 100,000",Canada,Canada,construction and extraction,Employed for wages,male,1,38000,0,French,married or domestic partnership,"some college credit, no degree",NA,0
31,"between 100,000 and 1 million",United States of America,United States of America,NA,A stay-at-home parent or homemaker,female,0,NA,0,English,NA,bachelor's degree,English,0
50,more than 1 million,United States of America,United States of America,finance,Employed for wages,male,0,90000,1,English,married or domestic partnership,bachelor's degree,Computer Science,0
28,"between 100,000 and 1 million",Canada,Canada,construction and extraction,Employed for wages,male,0,45000,0,English,"single, never married","trade, technical, or vocational training",NA,0
20,"between 100,000 and 1 million",Israel,Israel,NA,Not working and not looking for work,male,0,NA,0,English,NA,high school diploma or equivalent (GED),NA,0
24,"less than 100,000",United States of America,United States of America,NA,Employed for wages,male,1,32000,0,English,married or domestic partnership,"some college credit, no degree",NA,0
22,more than 1 million,Australia,Australia,NA,Not working and not looking for work,male,1,NA,0,English,NA,"some college credit, no degree",NA,0
29,more than 1 million,United States of America,United States of America,office and administrative support,Employed for wages,female,1,33000,0,English,"single, never married","some college credit, no degree",NA,0
25,"less than 100,000",United States of America,United States of America,food and beverage,Employed for wages,male,0,8000,0,English,NA,bachelor's degree,Music,0
40,"between 100,000 and 1 million",Canada,Chile,NA,Not working but looking for work,male,1,NA,1,English,NA,"trade, technical, or vocational training",NA,0
30,more than 1 million,Italy,United States of America,NA,Not working but looking for work,male,1,NA,0,English,NA,master's degree (non-professional),Physics,0
36,"between 100,000 and 1 million",United States of America,Japan,NA,A stay-at-home parent or homemaker,male,1,NA,0,English,married or domestic partnership,associate's degree,Business Administration,0
24,"less than 100,000",United States of America,United States of America,NA,Employed for wages,female,1,30000,1,Yue (Cantonese) Chinese,NA,bachelor's degree,Communications,0
24,"between 100,000 and 1 million",United Kingdom,United Kingdom,NA,Not working but looking for work,male,0,NA,0,English,NA,bachelor's degree,Engineering,0
31,more than 1 million,United States of America,United States of America,education,Employed for wages,male,1,80000,1,English,married or domestic partnership,bachelor's degree,Political Science,0
31,"less than 100,000",United States of America,United States of America,education,Employed for wages,female,1,21000,1,English,NA,master's degree (non-professional),English,0
16,"less than 100,000",United States of America,United States of America,NA,Not working and not looking for work,male,0,NA,0,English,NA,some high school,NA,0
37,"between 100,000 and 1 million",United States of America,United States of America,office and administrative support,Employed for wages,male,1,28000,1,Tagalog,married or domestic partnership,bachelor's degree,Computer Science,0
16,"between 100,000 and 1 million",United States of America,United States of America,NA,NA,male,0,NA,1,English,NA,no high school (secondary school),NA,0
23,"between 100,000 and 1 million",United States of America,United States of America,health care,Employed for wages,female,0,35000,0,English,NA,bachelor's degree,Nursing,0
34,"between 100,000 and 1 million",Ireland,Ireland,office and administrative support,Employed for wages,male,1,28000,0,Spanish,married or domestic partnership,high school diploma or equivalent (GED),NA,0
36,more than 1 million,Honduras,United States of America,NA,Employed for wages,male,1,NA,0,Spanish,NA,"some college credit, no degree",NA,0
