IsSoftwareDev,Age,AttendedBootcamp,CityPopulation,CountryCitizen,CountryLive,EmploymentStatus,Gender,HasDebt,HasFinancialDependents,HasHighSpdInternet,HasServedInMilitary,HoursLearning,IsEthnicMinority,IsReceiveDiabilitiesBenefits,LanguageAtHome,MoneyForLearning,MonthsProgramming,SchoolDegree
0,34,0,"less than 100,000",United States of America,United States of America,Not working and not looking for work,male,1,0,1,0,20,0,0,English,0,2,high school diploma or equivalent (GED)
0,19,0,more than 1 million,Jamaica,United States of America,,male,0,0,1,0,2,1,0,English,30,48,"some college credit, no degree"
0,28,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,1,0,15,0,0,English,200,18,bachelor's degree
0,24,0,more than 1 million,Canada,Canada,Not working but looking for work,male,0,0,1,0,,0,0,Russian,,3,high school diploma or equivalent (GED)
0,41,0,"less than 100,000",United Kingdom,United Kingdom,Employed for wages,male,1,1,1,0,10,0,0,English,100,2,master's degree (non-professional)
0,47,0,more than 1 million,Italy,Italy,Self-employed freelancer,male,0,1,1,0,15,0,0,Italian,100,3,high school diploma or equivalent (GED)
0,22,0,"between 100,000 and 1 million",Venezuela,Venezuela,Not working but looking for work,male,0,0,0,0,10,0,0,Spanish,500,12,high school diploma or equivalent (GED)
0,20,0,"less than 100,000",India,India,Doing an unpaid internship,female,0,0,1,0,10,0,0,Hindi,0,6,high school diploma or equivalent (GED)
0,20,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,0,0,1,0,20,1,0,Spanish,100,6,high school diploma or equivalent (GED)
0,19,0,more than 1 million,Bangladesh,Bangladesh,Not working but looking for work,male,0,0,0,0,56,0,0,Bengali,0,1,some high school
1,25,0,"between 100,000 and 1 million",Portugal,Portugal,Employed for wages,male,0,0,1,0,12,0,0,Portuguese,,96,"some college credit, no degree"
0,20,0,more than 1 million,India,Singapore,,male,1,0,0,0,5,1,0,Hindi,,4,high school diploma or equivalent (GED)
0,43,0,"between 100,000 and 1 million",United States of America,United States of America,Not working and not looking for work,male,0,0,1,0,4,0,0,English,0,240,"some college credit, no degree"
0,33,0,"less than 100,000",United States of America,United States of America,Not working but looking for work,female,0,1,1,0,10,0,0,English,80,1,high school diploma or equivalent (GED)
0,35,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,female,1,1,1,0,35,0,0,English,50,100,"some college credit, no degree"
0,30,0,"less than 100,000",United States of America,United States of America,Not working but looking for work,male,0,0,1,0,40,0,0,English,3000,8,bachelor's degree
0,25,0,"less than 100,000",United States of America,,Employed for wages,female,0,0,1,0,15,0,0,English,400,16,bachelor's degree
0,24,,"between 100,000 and 1 million",Macedonia,Macedonia,Not working but looking for work,male,0,0,1,0,10,0,0,English,250,1,bachelor's degree
0,36,0,more than 1 million,Cyprus,Greece,Employed for wages,male,1,1,1,1,8,0,0,Greek,0,6,"some college credit, no degree"
0,30,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,1,1,15,0,0,English,300,9,"some college credit, no degree"
0,34,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,2,0,0,English,250,3,master's degree (non-professional)
1,40,0,"less than 100,000",Sweden,Sweden,Employed for wages,male,1,1,1,0,5,0,0,Swedish,0,36,some high school
0,30,0,more than 1 million,United States of America,United States of America,A stay-at-home parent or homemaker,female,1,0,1,0,5,0,0,English,0,48,"professional degree (MBA, MD, JD, etc.)"
1,47,0,"between 100,000 and 1 million",Brazil,United States of America,Self-employed freelancer,female,0,0,1,0,20,0,0,English,800,36,"professional degree (MBA, MD, JD, etc.)"
1,24,0,"between 100,000 and 1 million",Portugal,Portugal,Employed for wages,female,0,0,1,0,4,0,0,Portuguese,0,19,bachelor's degree
0,25,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,10,1,0,Mandarin Chinese,50,1,bachelor's degree
0,27,0,more than 1 million,United States of America,United States of America,Self-employed business owner,male,1,0,1,0,15,1,0,English,,6,associate's degree
1,27,0,"less than 100,000",United States of America,United States of America,Employed for wages,female,1,0,1,0,16,0,0,English,400,72,bachelor's degree
0,24,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,5,0,0,English,0,3,bachelor's degree
0,34,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,15,0,0,English,400,4,"some college credit, no degree"
0,37,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,15,1,0,English,3000,36,"some college credit, no degree"
0,39,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,12,0,0,English,80,4,bachelor's degree
0,36,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,150,8,associate's degree
1,30,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,22,0,0,English,2000,60,associate's degree
0,25,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,5,0,0,English,500,24,bachelor's degree
1,31,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,500,48,"some college credit, no degree"
0,36,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,6,1,0,English,400,18,master's degree (non-professional)
1,20,0,"less than 100,000",United States of America,United States of America,Self-employed freelancer,male,1,0,1,0,20,0,0,English,2000,120,"some college credit, no degree"
0,32,0,more than 1 million,United Kingdom,Germany,Not working and not looking for work,male,1,0,1,0,40,0,0,English,100,2,bachelor's degree
0,27,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,0,0,1,0,7,0,0,English,150,12,bachelor's degree
0,32,0,"between 100,000 and 1 million",United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,15,0,0,English,50,3,bachelor's degree
0,32,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,20,1,0,Yue (Cantonese) Chinese,1000,9,bachelor's degree
1,38,0,,United States of America,United States of America,Employed for wages,male,1,1,1,0,8,0,0,English,300,120,bachelor's degree
0,16,0,more than 1 million,United States of America,United States of America,,male,0,0,1,0,6,0,0,English,0,6,some high school
1,19,0,"between 100,000 and 1 million",Canada,Canada,Employed for wages,male,1,0,1,0,20,0,0,English,0,30,high school diploma or equivalent (GED)
1,22,0,"between 100,000 and 1 million",Nigeria,United States of America,Not working but looking for work,male,0,0,1,0,20,0,0,English,100,36,some high school
1,19,0,"less than 100,000",United Kingdom,United Kingdom,Employed for wages,male,1,0,0,0,20,0,0,English,100,12,high school diploma or equivalent (GED)
0,24,0,more than 1 million,France,United States of America,Not working but looking for work,male,0,0,1,0,25,0,0,French,100,3,bachelor's degree
0,34,0,more than 1 million,United Kingdom,United Kingdom,A stay-at-home parent or homemaker,male,1,1,1,0,30,0,0,English,500,12,high school diploma or equivalent (GED)
0,26,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,1,10,0,0,English,500,2,"some college credit, no degree"
0,38,0,more than 1 million,United States of America,United States of America,,female,1,0,1,0,40,0,0,English,200,36,"some college credit, no degree"
0,28,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,0,0,1,0,3,0,0,English,0,6,"some college credit, no degree"
0,32,1,"between 100,000 and 1 million",United States of America,United States of America,Self-employed business owner,male,0,0,1,0,20,1,0,Yue (Cantonese) Chinese,8000,6,bachelor's degree
0,35,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,0,0,1,0,25,0,0,English,0,4,master's degree (non-professional)
0,16,0,"less than 100,000",United States of America,United States of America,Doing an unpaid internship,male,0,0,1,0,7,0,0,English,0,3,some high school
0,23,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,male,1,0,1,0,40,1,0,English,100,5,"some college credit, no degree"
1,26,1,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,6000,8,master's degree (non-professional)
1,25,0,"between 100,000 and 1 million","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Self-employed freelancer,male,1,0,1,0,40,1,0,Dutch,0,3,bachelor's degree
0,25,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,1,1,0,10,1,0,English,50,1,bachelor's degree
0,34,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,1,0,2,0,0,English,250,36,master's degree (non-professional)
0,31,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,10,1,0,Hindi,25,3,bachelor's degree
0,46,0,more than 1 million,Sweden,Sweden,Employed for wages,female,1,1,1,0,10,0,0,Swedish,300,100,master's degree (non-professional)
1,19,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,0,0,25,1,0,English,40,36,"some college credit, no degree"
0,22,0,more than 1 million,Pakistan,Pakistan,Not working but looking for work,male,0,1,1,0,2,0,0,Urdu,0,1,some high school
1,,0,,,,,,,,,,4,,,,0,72,
1,30,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,500,120,high school diploma or equivalent (GED)
0,25,0,"less than 100,000",United States of America,United States of America,Military,male,1,0,1,1,30,0,0,English,0,10,"some college credit, no degree"
0,15,0,"less than 100,000",United States of America,United States of America,Not working but looking for work,female,0,0,0,0,10,0,0,English,0,1,some high school
1,36,0,more than 1 million,Ecuador,Ecuador,Self-employed freelancer,male,1,1,1,0,8,1,0,Spanish,20,60,bachelor's degree
0,26,0,more than 1 million,United States of America,United States of America,Employed for wages,female,1,0,1,0,5,1,0,Spanish,0,14,bachelor's degree
1,43,0,more than 1 million,Australia,Australia,,male,0,1,1,0,10,1,0,Yue (Cantonese) Chinese,3000,36,Ph.D.
0,24,0,more than 1 million,Nepal,Australia,Not working but looking for work,male,0,0,1,0,,0,0,Nepali,400,4,bachelor's degree
0,27,0,"between 100,000 and 1 million",United States of America,United States of America,Self-employed business owner,male,1,1,1,0,8,0,0,English,100,0,bachelor's degree
0,31,0,more than 1 million,France,Korea South,Employed for wages,female,0,0,1,0,100,0,0,French,0,24,master's degree (non-professional)
0,28,0,more than 1 million,Canada,Canada,Employed for wages,male,0,0,1,0,1,0,0,English,0,4,associate's degree
1,32,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,4,0,0,English,250,32,bachelor's degree
0,23,0,"less than 100,000",France,Canada,,male,1,0,1,0,30,0,0,French,0,30,master's degree (non-professional)
0,16,0,"less than 100,000","Netherlands (Holland, Europe)","Netherlands (Holland, Europe)",Employed for wages,male,0,0,1,0,5,0,0,Dutch,0,1,no high school (secondary school)
0,29,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,40,0,0,English,500,24,bachelor's degree
0,43,0,more than 1 million,Greece,Austria,Self-employed freelancer,male,1,0,1,1,10,1,0,Greek,0,2,bachelor's degree
1,25,0,more than 1 million,Canada,Canada,Employed for wages,male,1,0,1,0,3,0,0,English,150,60,bachelor's degree
1,35,0,more than 1 million,United States of America,United States of America,Self-employed business owner,male,0,0,1,0,20,0,0,English,0,3,master's degree (non-professional)
0,33,0,more than 1 million,United States of America,United States of America,Not working but looking for work,female,0,0,1,0,3,0,0,English,0,6,bachelor's degree
0,18,0,more than 1 million,Philippines,Canada,,female,0,0,1,0,6,1,0,English,0,1,high school diploma or equivalent (GED)
0,21,0,more than 1 million,United States of America,United States of America,Doing an unpaid internship,male,0,0,1,0,30,0,0,English,0,4,associate's degree
1,24,0,more than 1 million,Australia,Australia,Employed for wages,male,1,0,1,0,15,1,0,Pashto,0,3,bachelor's degree
0,20,0,more than 1 million,India,India,Not working and not looking for work,male,0,0,0,0,12,0,0,Marathi,0,7,"some college credit, no degree"
0,25,0,more than 1 million,Jamaica,United Kingdom,Employed for wages,female,1,0,1,0,15,1,0,English,30,8,master's degree (non-professional)
0,24,0,"less than 100,000",United States of America,United States of America,Not working but looking for work,female,0,0,1,0,15,1,0,English,0,2,bachelor's degree
1,41,1,"less than 100,000",Barbados,United States of America,Employed for wages,male,1,1,1,0,30,0,0,English,15000,24,"some college credit, no degree"
0,27,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,1,0,20,0,0,English,120,9,bachelor's degree
0,24,0,"less than 100,000",Belgium,Belgium,Not working but looking for work,male,0,0,1,0,25,0,0,Dutch,0,1,master's degree (non-professional)
0,22,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,male,0,0,1,0,10,1,0,Portuguese,0,9,bachelor's degree
1,32,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,6,0,0,English,0,48,associate's degree
0,28,0,more than 1 million,Canada,Canada,Self-employed business owner,male,0,0,1,0,4,0,0,English,100,1,bachelor's degree
0,40,0,more than 1 million,Ireland,Thailand,Employed for wages,male,1,1,1,0,20,1,0,English,50,9,bachelor's degree
0,31,0,"between 100,000 and 1 million",United States of America,United States of America,Self-employed freelancer,male,1,0,1,0,50,0,0,English,500,13,bachelor's degree
0,22,0,"between 100,000 and 1 million",United States of America,United States of America,Doing an unpaid internship,male,0,0,1,0,20,1,0,English,10,2,associate's degree
1,32,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,250,60,associate's degree
0,36,0,more than 1 million,United States of America,United States of America,Not working but looking for work,female,1,0,1,0,20,0,0,English,300,14,master's degree (non-professional)
0,27,0,"less than 100,000",United States of America,United States of America,Not working and not looking for work,male,1,1,0,0,,0,0,English,0,3,"some college credit, no degree"
0,27,0,more than 1 million,United Kingdom,United Kingdom,Employed for wages,male,1,0,1,0,10,0,0,English,100,6,bachelor's degree
0,26,0,"between 100,000 and 1 million",Croatia,Republic of Montenegro,Employed for wages,male,0,0,1,0,20,0,0,Serbo-Croatian,0,6,bachelor's degree
0,30,0,more than 1 million,United States of America,United States of America,Not working but looking for work,male,0,0,1,0,20,0,0,English,0,14,bachelor's degree
0,26,0,more than 1 million,Bolivia,Bolivia,Not working but looking for work,male,0,0,0,1,18,0,0,Spanish,300,6,bachelor's degree
0,14,0,"less than 100,000",United States of America,United States of America,,male,0,0,1,0,2,0,0,English,0,12,no high school (secondary school)
0,34,0,more than 1 million,United States of America,Korea South,Employed for wages,male,1,1,1,0,12,1,0,English,0,2,"some college credit, no degree"
0,37,0,"between 100,000 and 1 million",Ireland,Ireland,Employed for wages,male,1,1,1,0,1,0,0,English,200,12,"some college credit, no degree"
0,34,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,6,0,0,English,200,3,Ph.D.
0,24,0,"between 100,000 and 1 million",Senegal,Senegal,Not working but looking for work,male,0,0,1,0,5,0,0,French,40,2,associate's degree
0,34,0,more than 1 million,United States of America,United States of America,Not working but looking for work,female,1,0,1,0,2,0,0,English,0,2,master's degree (non-professional)
0,29,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,10,1,0,English,30,3,high school diploma or equivalent (GED)
0,50,0,"between 100,000 and 1 million",United States of America,United States of America,Self-employed business owner,male,1,0,1,1,10,0,0,English,600,11,bachelor's degree
0,19,0,"less than 100,000",United Kingdom,United Kingdom,,male,0,0,1,0,3,0,0,English,100,24,"some college credit, no degree"
0,32,0,more than 1 million,United States of America,United States of America,Employed for wages,male,0,0,1,0,10,0,0,English,250,3,master's degree (non-professional)
0,22,0,more than 1 million,Ireland,Ireland,,male,1,0,0,0,25,0,0,English,0,43,bachelor's degree
0,26,0,"less than 100,000",United States of America,United States of America,A stay-at-home parent or homemaker,female,0,0,1,0,10,0,0,English,399,0,high school diploma or equivalent (GED)
0,30,0,"less than 100,000",United States of America,United States of America,Self-employed freelancer,male,1,0,1,0,20,0,0,English,200,3,master's degree (non-professional)
0,26,1,"between 100,000 and 1 million",United States of America,United States of America,Not working and not looking for work,female,0,0,1,0,30,0,0,English,12000,28,"some college credit, no degree"
1,27,0,"between 100,000 and 1 million",Romania,Romania,Unable to work,male,0,0,1,0,56,0,0,Russian,1900,12,bachelor's degree
0,37,0,more than 1 million,Canada,Canada,Employed for wages,female,1,1,1,0,15,0,0,French,150,9,master's degree (non-professional)
1,30,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,0,0,0,English,3000,13,master's degree (non-professional)
0,40,0,more than 1 million,Canada,Canada,Employed for wages,female,1,1,1,0,20,1,0,English,0,2,master's degree (non-professional)
1,22,0,more than 1 million,New Zealand,New Zealand,Employed for wages,male,1,0,1,0,10,0,0,English,300,30,bachelor's degree
0,32,0,more than 1 million,United States of America,Canada,A stay-at-home parent or homemaker,male,1,0,1,1,40,0,0,English,8000,14,master's degree (non-professional)
0,27,0,"less than 100,000",Australia,Australia,Employed for wages,male,1,1,1,0,20,0,0,Bengali,100,12,bachelor's degree
1,28,0,"less than 100,000",Cambodia,Cambodia,Not working but looking for work,male,0,1,0,0,14,0,0,Khmer,200,4,master's degree (non-professional)
0,50,0,"between 100,000 and 1 million",Canada,Canada,Self-employed freelancer,male,0,1,1,0,50,0,0,English,100,3,"some college credit, no degree"
0,26,0,"less than 100,000",United Kingdom,United Kingdom,Self-employed freelancer,male,1,0,1,0,25,0,0,English,50,5,master's degree (non-professional)
0,29,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,0,1,0,10,1,0,English,500,6,"professional degree (MBA, MD, JD, etc.)"
0,34,0,more than 1 million,Romania,Canada,Employed for wages,female,0,1,1,0,10,1,0,French,0,5,master's degree (non-professional)
1,36,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,1000,180,"some college credit, no degree"
0,31,0,more than 1 million,Canada,Canada,Employed for wages,female,1,0,1,0,4,0,0,English,0,4,bachelor's degree
0,21,0,"between 100,000 and 1 million",Algeria,Algeria,Not working but looking for work,male,0,0,0,0,14,0,0,Arabic,0,1,bachelor's degree
0,29,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,15,0,0,English,200,24,bachelor's degree
0,26,0,"less than 100,000",United States of America,United States of America,Employed for wages,female,1,0,1,0,5,1,0,English,50,2,bachelor's degree
0,19,0,more than 1 million,United States of America,United States of America,Doing an unpaid internship,female,0,0,1,0,15,1,0,Yue (Cantonese) Chinese,0,36,"some college credit, no degree"
0,25,0,"between 100,000 and 1 million",Ireland,Ireland,Not working but looking for work,male,1,0,1,0,12,1,0,English,,2,bachelor's degree
0,31,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,0,1,0,5,0,0,English,300,12,bachelor's degree
0,37,0,"between 100,000 and 1 million",United States of America,United States of America,Not working but looking for work,male,1,0,1,1,40,0,0,English,500,6,master's degree (non-professional)
0,27,0,more than 1 million,United States of America,United States of America,Not working and not looking for work,male,0,0,1,0,,1,0,English,0,2,master's degree (non-professional)
0,19,0,"between 100,000 and 1 million",India,United States of America,,male,0,0,1,0,7,1,0,Tamil,50,10,high school diploma or equivalent (GED)
0,50,0,"between 100,000 and 1 million",United States of America,United States of America,Self-employed freelancer,female,1,0,1,0,20,0,,English,500,36,"professional degree (MBA, MD, JD, etc.)"
0,24,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,male,1,0,1,0,40,0,0,English,200,5,bachelor's degree
1,28,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,20,0,0,English,0,7,bachelor's degree
0,31,0,"less than 100,000",Canada,Canada,Employed for wages,female,0,0,1,0,4,0,0,French,100,24,"trade, technical, or vocational training"
0,49,0,"less than 100,000",United States of America,United States of America,Employed for wages,male,1,1,1,0,10,0,0,English,0,4,"professional degree (MBA, MD, JD, etc.)"
0,24,1,"between 100,000 and 1 million",Canada,Canada,Not working but looking for work,female,0,0,1,0,60,0,0,English,5500,2,"some college credit, no degree"
0,30,0,"between 100,000 and 1 million",Guatemala,United States of America,Not working but looking for work,female,0,0,1,0,30,1,1,English,0,12,bachelor's degree
1,49,0,more than 1 million,United States of America,United States of America,Employed for wages,male,1,1,1,0,15,0,0,English,6000,15,bachelor's degree
0,45,0,"less than 100,000",United States of America,United States of America,Not working but looking for work,male,1,0,1,0,40,0,0,English,0,,"some college credit, no degree"
0,55,0,more than 1 million,,,Employed for wages,male,1,1,1,0,12,0,0,,500,6,"professional degree (MBA, MD, JD, etc.)"
0,20,0,"less than 100,000",Pakistan,United States of America,Not working but looking for work,male,0,0,1,0,42,1,0,Urdu,200,4,"some college credit, no degree"
0,31,0,"less than 100,000",United States of America,United States of America,Self-employed freelancer,female,1,1,1,0,50,0,0,English,200,6,"some college credit, no degree"
0,21,0,more than 1 million,Russia,Russia,Not working but looking for work,male,0,0,1,0,20,0,0,Russian,0,12,bachelor's degree
0,36,0,more than 1 million,Mexico,Mexico,Employed for wages,male,0,1,1,0,3,0,0,Spanish,2000,60,"some college credit, no degree"
0,36,0,"less than 100,000",Brazil,Brazil,Employed for wages,male,1,1,1,0,10,0,0,Portuguese,350,15,bachelor's degree
0,51,0,more than 1 million,United States of America,United States of America,Employed for wages,female,0,0,1,0,10,0,0,English,0,4,bachelor's degree
0,22,0,more than 1 million,United States of America,United States of America,Not working and not looking for work,male,1,0,1,0,15,1,0,English,0,10,"some college credit, no degree"
0,30,0,more than 1 million,United Kingdom,United Kingdom,Self-employed business owner,male,1,0,1,0,6,1,0,Bengali,200,3,bachelor's degree
1,33,0,"between 100,000 and 1 million",Colombia,Colombia,Employed for wages,male,1,1,1,0,5,0,0,Spanish,20,3,bachelor's degree
0,32,0,more than 1 million,United States of America,United States of America,Not working but looking for work,male,0,1,1,0,30,0,0,English,4000,16,"some college credit, no degree"
0,30,0,more than 1 million,United States of America,United States of America,A stay-at-home parent or homemaker,male,1,1,1,0,20,0,0,English,1600,16,"some college credit, no degree"
1,26,0,"between 100,000 and 1 million",Israel,Israel,Employed for wages,male,0,1,1,0,30,0,0,Russian,400,36,master's degree (non-professional)
0,31,0,"between 100,000 and 1 million",United States of America,United States of America,Employed for wages,female,1,0,1,0,5,1,0,Yue (Cantonese) Chinese,250,4,"some college credit, no degree"
